track_name,last_played_date,is_user_initiated,artist_name,track_name_clean
Carly Rae Jepsen - Your Type,1699822695172,True,Carly Rae Jepsen,Your Type
Carly Rae Jepsen - Let's Get Lost,1699823079105,False,Carly Rae Jepsen,Let's Get Lost
Carly Rae Jepsen - Let's Get Lost,1699823079105,True,Carly Rae Jepsen,Let's Get Lost
Carly Rae Jepsen - LA Hallucinations,1699823084092,False,Carly Rae Jepsen,LA Hallucinations
Carly Rae Jepsen - LA Hallucinations,1699823084092,True,Carly Rae Jepsen,LA Hallucinations
Carly Rae Jepsen - Warm Blood,1699823085729,False,Carly Rae Jepsen,Warm Blood
Carly Rae Jepsen - Warm Blood,1699823085729,True,Carly Rae Jepsen,Warm Blood
Carly Rae Jepsen - When I Needed You,1699823166079,False,Carly Rae Jepsen,When I Needed You
Carly Rae Jepsen - When I Needed You,1699823166079,True,Carly Rae Jepsen,When I Needed You
Carly Rae Jepsen - Black Heart,1699823234262,False,Carly Rae Jepsen,Black Heart
Carly Rae Jepsen - Black Heart,1699823234262,True,Carly Rae Jepsen,Black Heart
Carly Rae Jepsen - I Didn't Just Come Here to Dance,1657483304400,False,Carly Rae Jepsen,I Didn't Just Come Here to Dance
Carly Rae Jepsen - I Didn't Just Come Here to Dance,1657483304400,True,Carly Rae Jepsen,I Didn't Just Come Here to Dance
Carly Rae Jepsen - Favourite Colour,1657483460224,False,Carly Rae Jepsen,Favourite Colour
Carly Rae Jepsen - Favourite Colour,1657483460224,True,Carly Rae Jepsen,Favourite Colour
Philip Bailey & Phil Collins - Easy Lover,1646872314627,False,Philip Bailey & Phil Collins,Easy Lover
Philip Bailey & Phil Collins - Easy Lover,1646872314627,True,Philip Bailey & Phil Collins,Easy Lover
Conforce - Blue Note,1714405294982,False,Conforce,Blue Note
Conforce - Blue Note,1714405294982,True,Conforce,Blue Note
Luis Miguel - La Incondicional,1731627389795,False,Luis Miguel,La Incondicional
Little Mix - Black Magic,1645902107656,False,Little Mix,Black Magic
Little Mix - Black Magic,1645902107656,True,Little Mix,Black Magic
Little Mix - Love Me Like You,1645902113323,False,Little Mix,Love Me Like You
Little Mix - Love Me Like You,1645902113323,True,Little Mix,Love Me Like You
